date,exercise,reps,weight,total_weight
2023-01-01,squat,5,127.5,637.5
2023-01-01,bench press,8,101.0,808.0
2023-01-01,deadlift,10,130.0,1300.0
2023-01-02,squat,12,97.5,1170.0
2023-01-02,bench press,4,115.0,460.0
2023-01-02,deadlift,10,130.0,1300.0
2023-01-07,squat,8,112.5,900.0
2023-01-07,bench press,10,88.0,880.0
2023-01-07,deadlift,12,130.0,1560.0
2023-01-08,squat,2,142.5,285.0
2023-01-08,bench press,12,88.0,1056.0
2023-01-08,deadlift,12,130.0,1560.0
2023-01-09,squat,5,127.5,637.5
2023-01-09,bench press,9,101.0,909.0
2023-01-09,deadlift,4,170.0,680.0
2023-01-11,squat,11,97.5,1072.5
2023-01-11,bench press,6,115.0,690.0
2023-01-11,deadlift,1,190.0,190.0
2023-01-13,squat,9,112.5,1012.5
2023-01-13,bench press,1,128.0,128.0
2023-01-13,deadlift,5,170.0,850.0
2023-01-17,squat,4,127.5,510.0
2023-01-17,bench press,13,88.0,1144.0
2023-01-17,deadlift,12,130.0,1560.0
2023-01-19,squat,13,97.5,1267.5
2023-01-19,bench press,13,88.0,1144.0
2023-01-19,deadlift,14,130.0,1820.0
2023-01-20,squat,3,142.5,427.5
2023-01-20,bench press,13,88.0,1144.0
2023-01-20,deadlift,6,170.0,1020.0
2023-01-24,squat,2,142.5,285.0
2023-01-24,bench press,3,128.0,384.0
2023-01-24,deadlift,5,170.0,850.0
2023-01-25,squat,9,112.5,1012.5
2023-01-25,bench press,2,128.0,256.0
2023-01-25,deadlift,10,130.0,1300.0
2023-01-28,squat,8,112.5,900.0
2023-01-28,bench press,14,88.0,1232.0
2023-01-28,deadlift,2,190.0,380.0
2023-01-29,squat,11,97.5,1072.5
2023-01-29,bench press,13,88.0,1144.0
2023-01-29,deadlift,5,170.0,850.0
2023-01-30,squat,7,112.5,787.5
2023-01-30,bench press,8,101.0,808.0
2023-01-30,deadlift,1,190.0,190.0
2023-01-31,squat,6,128.5,771.0
2023-01-31,bench press,1,129.5,129.5
2023-01-31,deadlift,2,191.5,383.0
2023-02-06,squat,1,143.5,143.5
2023-02-06,bench press,11,88.5,973.5
2023-02-06,deadlift,5,171.5,857.5
2023-02-07,squat,10,98.5,985.0
2023-02-07,bench press,9,102.0,918.0
2023-02-07,deadlift,6,171.5,1029.0
2023-02-09,squat,11,98.5,1083.5
2023-02-09,bench press,11,88.5,973.5
2023-02-09,deadlift,1,191.5,191.5
2023-02-11,squat,13,98.5,1280.5
2023-02-11,bench press,1,129.5,129.5
2023-02-11,deadlift,2,191.5,383.0
2023-02-12,squat,9,113.5,1021.5
2023-02-12,bench press,3,129.5,388.5
2023-02-12,deadlift,1,191.5,191.5
2023-02-14,squat,5,128.5,642.5
2023-02-14,bench press,7,102.0,714.0
2023-02-14,deadlift,6,171.5,1029.0
2023-02-16,squat,12,98.5,1182.0
2023-02-16,bench press,1,129.5,129.5
2023-02-16,deadlift,5,171.5,857.5
2023-02-19,squat,5,128.5,642.5
2023-02-19,bench press,6,115.5,693.0
2023-02-19,deadlift,3,191.5,574.5
2023-02-21,squat,5,128.5,642.5
2023-02-21,bench press,7,102.0,714.0
2023-02-21,deadlift,5,171.5,857.5
2023-02-23,squat,5,128.5,642.5
2023-02-23,bench press,5,115.5,577.5
2023-02-23,deadlift,10,131.0,1310.0
2023-02-27,squat,10,98.5,985.0
2023-02-27,bench press,3,129.5,388.5
2023-02-27,deadlift,1,191.5,191.5
2023-02-28,squat,5,128.5,642.5
2023-02-28,bench press,14,88.5,1239.0
2023-02-28,deadlift,9,151.0,1359.0
2023-03-02,squat,14,99.0,1386.0
2023-03-02,bench press,1,130.5,130.5
2023-03-02,deadlift,3,193.0,579.0
2023-03-05,squat,13,99.0,1287.0
2023-03-05,bench press,13,89.0,1157.0
2023-03-05,deadlift,4,173.0,692.0
2023-03-07,squat,14,99.0,1386.0
2023-03-07,bench press,1,130.5,130.5
2023-03-07,deadlift,1,193.0,193.0
2023-03-08,squat,8,114.5,916.0
2023-03-08,bench press,2,130.5,261.0
2023-03-08,deadlift,12,132.0,1584.0
2023-03-10,squat,8,114.5,916.0
2023-03-10,bench press,7,103.0,721.0
2023-03-10,deadlift,10,132.0,1320.0
2023-03-14,squat,10,99.0,990.0
2023-03-14,bench press,2,130.5,261.0
2023-03-14,deadlift,6,173.0,1038.0
2023-03-17,squat,6,129.5,777.0
2023-03-17,bench press,3,130.5,391.5
2023-03-17,deadlift,11,132.0,1452.0
2023-03-18,squat,2,145.0,290.0
2023-03-18,bench press,12,89.0,1068.0
2023-03-18,deadlift,1,193.0,193.0
2023-03-20,squat,6,129.5,777.0
2023-03-20,bench press,12,89.0,1068.0
2023-03-20,deadlift,5,173.0,865.0
2023-03-21,squat,14,99.0,1386.0
2023-03-21,bench press,14,89.0,1246.0
2023-03-21,deadlift,11,132.0,1452.0
2023-03-22,squat,9,114.5,1030.5
2023-03-22,bench press,1,130.5,130.5
2023-03-22,deadlift,7,152.5,1067.5
2023-03-27,squat,5,129.5,647.5
2023-03-27,bench press,5,116.5,582.5
2023-03-27,deadlift,14,132.0,1848.0
2023-04-18,squat,2,146.0,292.0
2023-04-18,bench press,11,90.0,990.0
2023-04-18,deadlift,3,194.5,583.5
2023-04-20,squat,7,115.5,808.5
2023-04-20,bench press,6,117.5,705.0
2023-04-20,deadlift,12,133.0,1596.0
2023-04-21,squat,2,146.0,292.0
2023-04-21,bench press,6,117.5,705.0
2023-04-21,deadlift,2,194.5,389.0
2023-04-23,squat,2,146.0,292.0
2023-04-23,bench press,2,131.5,263.0
2023-04-23,deadlift,14,133.0,1862.0
2023-04-24,squat,11,100.0,1100.0
2023-04-24,bench press,3,131.5,394.5
2023-04-24,deadlift,2,194.5,389.0
2023-04-26,squat,4,130.5,522.0
2023-04-26,bench press,9,104.0,936.0
2023-04-26,deadlift,6,174.0,1044.0
2023-04-29,squat,1,146.0,146.0
2023-04-29,bench press,8,104.0,832.0
2023-04-29,deadlift,12,133.0,1596.0
2023-05-01,squat,14,100.0,1400.0
2023-05-01,bench press,7,104.0,728.0
2023-05-01,deadlift,10,133.0,1330.0
2023-05-03,squat,3,147.5,442.5
2023-05-03,bench press,1,132.5,132.5
2023-05-03,deadlift,5,175.5,877.5
2023-05-04,squat,13,101.0,1313.0
2023-05-04,bench press,4,118.5,474.0
2023-05-04,deadlift,10,134.5,1345.0
2023-05-05,squat,8,116.5,932.0
2023-05-05,bench press,1,132.5,132.5
2023-05-05,deadlift,10,134.5,1345.0
2023-05-08,squat,1,147.5,147.5
2023-05-08,bench press,12,90.5,1086.0
2023-05-08,deadlift,4,175.5,702.0
2023-05-10,squat,8,116.5,932.0
2023-05-10,bench press,5,118.5,592.5
2023-05-10,deadlift,2,196.5,393.0
2023-05-12,squat,6,132.0,792.0
2023-05-12,bench press,5,118.5,592.5
2023-05-12,deadlift,2,196.5,393.0
2023-05-13,squat,13,101.0,1313.0
2023-05-13,bench press,14,90.5,1267.0
2023-05-13,deadlift,11,134.5,1479.5
2023-05-15,squat,11,101.0,1111.0
2023-05-15,bench press,11,90.5,995.5
2023-05-15,deadlift,3,196.5,589.5
2023-05-17,squat,9,116.5,1048.5
2023-05-17,bench press,7,104.5,731.5
2023-05-17,deadlift,7,155.0,1085.0
2023-05-18,squat,11,101.0,1111.0
2023-05-18,bench press,6,118.5,711.0
2023-05-18,deadlift,8,155.0,1240.0
2023-05-21,squat,4,132.0,528.0
2023-05-21,bench press,8,104.5,836.0
2023-05-21,deadlift,4,175.5,702.0
2023-05-23,squat,8,116.5,932.0
2023-05-23,bench press,9,104.5,940.5
2023-05-23,deadlift,3,196.5,589.5
2023-05-26,squat,3,147.5,442.5
2023-05-26,bench press,11,90.5,995.5
2023-05-26,deadlift,13,134.5,1748.5
2023-05-27,squat,2,147.5,295.0
2023-05-27,bench press,13,90.5,1176.5
2023-05-27,deadlift,10,134.5,1345.0
2023-05-29,squat,3,147.5,442.5
2023-05-29,bench press,3,132.5,397.5
2023-05-29,deadlift,5,175.5,877.5
2023-05-30,squat,5,132.0,660.0
2023-05-30,bench press,2,132.5,265.0
2023-05-30,deadlift,12,134.5,1614.0
2023-06-01,squat,10,101.0,1010.0
2023-06-01,bench press,13,90.5,1176.5
2023-06-01,deadlift,6,175.5,1053.0
2023-06-04,squat,5,133.0,665.0
2023-06-04,bench press,6,119.5,717.0
2023-06-04,deadlift,1,198.0,198.0
2023-06-05,squat,5,133.0,665.0
2023-06-05,bench press,9,105.5,949.5
2023-06-05,deadlift,12,135.5,1626.0
2023-06-07,squat,10,101.5,1015.0
2023-06-07,bench press,14,91.5,1281.0
2023-06-07,deadlift,2,198.0,396.0
2023-06-09,squat,1,148.5,148.5
2023-06-09,bench press,14,91.5,1281.0
2023-06-09,deadlift,10,135.5,1355.0
2023-06-11,squat,13,101.5,1319.5
2023-06-11,bench press,11,91.5,1006.5
2023-06-11,deadlift,9,156.0,1404.0
2023-06-12,squat,10,101.5,1015.0
2023-06-12,bench press,9,105.5,949.5
2023-06-12,deadlift,9,156.0,1404.0
2023-06-14,squat,6,133.0,798.0
2023-06-14,bench press,8,105.5,844.0
2023-06-14,deadlift,14,135.5,1897.0
2023-06-15,squat,11,101.5,1116.5
2023-06-15,bench press,13,91.5,1189.5
2023-06-15,deadlift,1,198.0,198.0
2023-06-19,squat,10,101.5,1015.0
2023-06-19,bench press,4,119.5,478.0
2023-06-19,deadlift,1,198.0,198.0
2023-06-20,squat,8,117.0,936.0
2023-06-20,bench press,1,133.5,133.5
2023-06-20,deadlift,3,198.0,594.0
2023-06-21,squat,13,101.5,1319.5
2023-06-21,bench press,4,119.5,478.0
2023-06-21,deadlift,8,156.0,1248.0
2023-06-24,squat,6,133.0,798.0
2023-06-24,bench press,14,91.5,1281.0
2023-06-24,deadlift,10,135.5,1355.0
2023-06-25,squat,12,101.5,1218.0
2023-06-25,bench press,7,105.5,738.5
2023-06-25,deadlift,14,135.5,1897.0
2023-06-26,squat,8,117.0,936.0
2023-06-26,bench press,2,133.5,267.0
2023-06-26,deadlift,13,135.5,1761.5
2023-06-27,squat,10,101.5,1015.0
2023-06-27,bench press,14,91.5,1281.0
2023-06-27,deadlift,11,135.5,1490.5
2023-06-29,squat,8,117.0,936.0
2023-06-29,bench press,3,133.5,400.5
2023-06-29,deadlift,7,156.0,1092.0
2023-07-02,squat,3,149.5,448.5
2023-07-02,bench press,7,106.5,745.5
2023-07-02,deadlift,14,136.5,1911.0
2023-07-06,squat,11,102.5,1127.5
2023-07-06,bench press,12,92.0,1104.0
2023-07-06,deadlift,13,136.5,1774.5
2023-07-07,squat,2,149.5,299.0
2023-07-07,bench press,10,92.0,920.0
2023-07-07,deadlift,6,178.5,1071.0
2023-07-08,squat,3,149.5,448.5
2023-07-08,bench press,3,134.5,403.5
2023-07-08,deadlift,9,157.5,1417.5
2023-07-10,squat,7,118.0,826.0
2023-07-10,bench press,5,120.5,602.5
2023-07-10,deadlift,12,136.5,1638.0
2023-07-11,squat,10,102.5,1025.0
2023-07-11,bench press,7,106.5,745.5
2023-07-11,deadlift,9,157.5,1417.5
2023-07-12,squat,1,149.5,149.5
2023-07-12,bench press,7,106.5,745.5
2023-07-12,deadlift,6,178.5,1071.0
2023-07-13,squat,10,102.5,1025.0
2023-07-13,bench press,14,92.0,1288.0
2023-07-13,deadlift,12,136.5,1638.0
2023-07-17,squat,9,118.0,1062.0
2023-07-17,bench press,1,134.5,134.5
2023-07-17,deadlift,13,136.5,1774.5
2023-07-18,squat,4,134.0,536.0
2023-07-18,bench press,9,106.5,958.5
2023-07-18,deadlift,4,178.5,714.0
2023-07-21,squat,10,102.5,1025.0
2023-07-21,bench press,3,134.5,403.5
2023-07-21,deadlift,9,157.5,1417.5
2023-07-22,squat,13,102.5,1332.5
2023-07-22,bench press,2,134.5,269.0
2023-07-22,deadlift,4,178.5,714.0
2023-07-24,squat,6,134.0,804.0
2023-07-24,bench press,2,134.5,269.0
2023-07-24,deadlift,8,157.5,1260.0
2023-07-26,squat,8,118.0,944.0
2023-07-26,bench press,1,134.5,134.5
2023-07-26,deadlift,12,136.5,1638.0
2023-07-28,squat,3,149.5,448.5
2023-07-28,bench press,10,92.0,920.0
2023-07-28,deadlift,9,157.5,1417.5
2023-08-16,squat,5,135.0,675.0
2023-08-16,bench press,6,121.5,729.0
2023-08-16,deadlift,4,180.0,720.0
2023-08-17,squat,10,103.0,1030.0
2023-08-17,bench press,2,135.5,271.0
2023-08-17,deadlift,11,137.5,1512.5
2023-08-18,squat,8,119.0,952.0
2023-08-18,bench press,11,93.0,1023.0
2023-08-18,deadlift,13,137.5,1787.5
2023-08-19,squat,6,135.0,810.0
2023-08-19,bench press,5,121.5,607.5
2023-08-19,deadlift,9,159.0,1431.0
2023-08-21,squat,1,151.0,151.0
2023-08-21,bench press,5,121.5,607.5
2023-08-21,deadlift,6,180.0,1080.0
2023-08-23,squat,5,135.0,675.0
2023-08-23,bench press,6,121.5,729.0
2023-08-23,deadlift,6,180.0,1080.0
2023-08-24,squat,7,119.0,833.0
2023-08-24,bench press,4,121.5,486.0
2023-08-24,deadlift,14,137.5,1925.0
2023-08-25,squat,11,103.0,1133.0
2023-08-25,bench press,14,93.0,1302.0
2023-08-25,deadlift,14,137.5,1925.0
2023-08-28,squat,14,103.0,1442.0
2023-08-28,bench press,8,107.0,856.0
2023-08-28,deadlift,7,159.0,1113.0
2023-08-29,squat,9,119.0,1071.0
2023-08-29,bench press,7,107.0,749.0
2023-08-29,deadlift,3,201.0,603.0
2023-08-30,squat,3,151.0,453.0
2023-08-30,bench press,8,107.0,856.0
2023-08-30,deadlift,5,180.0,900.0
2023-09-02,squat,4,136.0,544.0
2023-09-02,bench press,8,108.0,864.0
2023-09-02,deadlift,6,181.5,1089.0
2023-09-03,squat,2,152.0,304.0
2023-09-03,bench press,4,122.5,490.0
2023-09-03,deadlift,12,138.5,1662.0
2023-09-05,squat,11,104.0,1144.0
2023-09-05,bench press,4,122.5,490.0
2023-09-05,deadlift,6,181.5,1089.0
2023-09-08,squat,6,136.0,816.0
2023-09-08,bench press,1,137.0,137.0
2023-09-08,deadlift,14,138.5,1939.0
2023-09-10,squat,8,120.0,960.0
2023-09-10,bench press,6,122.5,735.0
2023-09-10,deadlift,3,202.5,607.5
2023-09-11,squat,14,104.0,1456.0
2023-09-11,bench press,9,108.0,972.0
2023-09-11,deadlift,2,202.5,405.0
2023-09-14,squat,11,104.0,1144.0
2023-09-14,bench press,8,108.0,864.0
2023-09-14,deadlift,10,138.5,1385.0
2023-09-15,squat,3,152.0,456.0
2023-09-15,bench press,13,93.5,1215.5
2023-09-15,deadlift,12,138.5,1662.0
2023-09-17,squat,5,136.0,680.0
2023-09-17,bench press,6,122.5,735.0
2023-09-17,deadlift,10,138.5,1385.0
2023-09-18,squat,6,136.0,816.0
2023-09-18,bench press,4,122.5,490.0
2023-09-18,deadlift,3,202.5,607.5
2023-09-19,squat,4,136.0,544.0
2023-09-19,bench press,1,137.0,137.0
2023-09-19,deadlift,4,181.5,726.0
2023-10-11,squat,1,153.0,153.0
2023-10-11,bench press,12,94.5,1134.0
2023-10-11,deadlift,1,204.0,204.0
2023-10-13,squat,10,105.0,1050.0
2023-10-13,bench press,14,94.5,1323.0
2023-10-13,deadlift,6,183.0,1098.0
2023-10-16,squat,5,137.0,685.0
2023-10-16,bench press,14,94.5,1323.0
2023-10-16,deadlift,11,140.0,1540.0
2023-10-17,squat,4,137.0,548.0
2023-10-17,bench press,13,94.5,1228.5
2023-10-17,deadlift,11,140.0,1540.0
2023-10-20,squat,3,153.0,459.0
2023-10-20,bench press,1,138.0,138.0
2023-10-20,deadlift,6,183.0,1098.0
2023-10-23,squat,2,153.0,306.0
2023-10-23,bench press,8,109.0,872.0
2023-10-23,deadlift,10,140.0,1400.0
2023-10-26,squat,5,137.0,685.0
2023-10-26,bench press,7,109.0,763.0
2023-10-26,deadlift,10,140.0,1400.0
2023-10-27,squat,12,105.0,1260.0
2023-10-27,bench press,2,138.0,276.0
2023-10-27,deadlift,13,140.0,1820.0
2023-10-28,squat,8,121.0,968.0
2023-10-28,bench press,2,138.0,276.0
2023-10-28,deadlift,4,183.0,732.0
2023-10-29,squat,1,153.0,153.0
2023-10-29,bench press,5,123.5,617.5
2023-10-29,deadlift,9,161.0,1449.0
2023-10-31,squat,1,153.0,153.0
2023-10-31,bench press,9,109.0,981.0
2023-10-31,deadlift,11,140.0,1540.0
2023-11-01,squat,8,122.0,976.0
2023-11-01,bench press,6,124.5,747.0
2023-11-01,deadlift,7,162.5,1137.5
2023-11-02,squat,3,154.5,463.5
2023-11-02,bench press,14,95.0,1330.0
2023-11-02,deadlift,1,206.0,206.0
2023-11-07,squat,5,138.0,690.0
2023-11-07,bench press,14,95.0,1330.0
2023-11-07,deadlift,12,141.0,1692.0
2023-11-09,squat,12,105.5,1266.0
2023-11-09,bench press,2,139.0,278.0
2023-11-09,deadlift,14,141.0,1974.0
2023-11-10,squat,5,138.0,690.0
2023-11-10,bench press,8,109.5,876.0
2023-11-10,deadlift,11,141.0,1551.0
2023-11-11,squat,9,122.0,1098.0
2023-11-11,bench press,2,139.0,278.0
2023-11-11,deadlift,12,141.0,1692.0
2023-11-13,squat,3,154.5,463.5
2023-11-13,bench press,3,139.0,417.0
2023-11-13,deadlift,1,206.0,206.0
2023-11-14,squat,8,122.0,976.0
2023-11-14,bench press,6,124.5,747.0
2023-11-14,deadlift,12,141.0,1692.0
2023-11-16,squat,13,105.5,1371.5
2023-11-16,bench press,8,109.5,876.0
2023-11-16,deadlift,11,141.0,1551.0
2023-11-18,squat,9,122.0,1098.0
2023-11-18,bench press,5,124.5,622.5
2023-11-18,deadlift,14,141.0,1974.0
2023-11-20,squat,12,105.5,1266.0
2023-11-20,bench press,14,95.0,1330.0
2023-11-20,deadlift,3,206.0,618.0
2023-11-22,squat,5,138.0,690.0
2023-11-22,bench press,5,124.5,622.5
2023-11-22,deadlift,5,184.0,920.0
2023-11-23,squat,3,154.5,463.5
2023-11-23,bench press,11,95.0,1045.0
2023-11-23,deadlift,14,141.0,1974.0
2023-11-25,squat,10,105.5,1055.0
2023-11-25,bench press,14,95.0,1330.0
2023-11-25,deadlift,4,184.0,736.0
2023-11-27,squat,9,122.0,1098.0
2023-11-27,bench press,13,95.0,1235.0
2023-11-27,deadlift,10,141.0,1410.0
2023-11-30,squat,9,122.0,1098.0
2023-11-30,bench press,2,139.0,278.0
2023-11-30,deadlift,8,162.5,1300.0
2023-12-02,squat,8,123.0,984.0
2023-12-02,bench press,7,110.5,773.5
2023-12-02,deadlift,8,164.0,1312.0
2023-12-03,squat,14,106.5,1491.0
2023-12-03,bench press,3,140.0,420.0
2023-12-03,deadlift,13,142.0,1846.0
2023-12-04,squat,6,139.0,834.0
2023-12-04,bench press,1,140.0,140.0
2023-12-04,deadlift,7,164.0,1148.0
2023-12-05,squat,1,155.5,155.5
2023-12-05,bench press,9,110.5,994.5
2023-12-05,deadlift,1,207.5,207.5
2023-12-07,squat,1,155.5,155.5
2023-12-07,bench press,7,110.5,773.5
2023-12-07,deadlift,2,207.5,415.0
2023-12-11,squat,14,106.5,1491.0
2023-12-11,bench press,5,125.5,627.5
2023-12-11,deadlift,8,164.0,1312.0
2023-12-13,squat,8,123.0,984.0
2023-12-13,bench press,3,140.0,420.0
2023-12-13,deadlift,7,164.0,1148.0
2023-12-14,squat,3,155.5,466.5
2023-12-14,bench press,6,125.5,753.0
2023-12-14,deadlift,6,185.5,1113.0
2023-12-16,squat,3,155.5,466.5
2023-12-16,bench press,7,110.5,773.5
2023-12-16,deadlift,3,207.5,622.5
2023-12-17,squat,8,123.0,984.0
2023-12-17,bench press,10,96.0,960.0
2023-12-17,deadlift,4,185.5,742.0
2023-12-19,squat,13,106.5,1384.5
2023-12-19,bench press,1,140.0,140.0
2023-12-19,deadlift,4,185.5,742.0
2023-12-20,squat,14,106.5,1491.0
2023-12-20,bench press,7,110.5,773.5
2023-12-20,deadlift,11,142.0,1562.0
2023-12-25,squat,4,139.0,556.0
2023-12-25,bench press,13,96.0,1248.0
2023-12-25,deadlift,6,185.5,1113.0
2023-12-26,squat,9,123.0,1107.0
2023-12-26,bench press,1,140.0,140.0
2023-12-26,deadlift,13,142.0,1846.0
2023-12-29,squat,5,139.0,695.0
2023-12-29,bench press,11,96.0,1056.0
2023-12-29,deadlift,7,164.0,1148.0
2023-12-30,squat,1,155.5,155.5
2023-12-30,bench press,14,96.0,1344.0
2023-12-30,deadlift,4,185.5,742.0
